Date,Number of lots,Sale total
04-6-2019,281,160680
04-6-2019,70,NA
03-6-2019,71,NA
03-6-2019,191,NA
03-6-2019,138,NA
03-6-2019,21,NA
02-6-2019,109,NA
02-6-2019,57,NA
02-6-2019,126,NA
31-5-2019,114,256480
31-5-2019,39,172100
31-5-2019,282,700000
30-5-2019,208,246890
30-5-2019,421,225450
29-5-2019,167,483010
28-5-2019,651,1035600
27-5-2019,227,NA
27-5-2019,213,NA
27-5-2019,122,NA
26-5-2019,63,NA
26-5-2019,60,NA
25-5-2019,105,NA
25-5-2019,165,NA
24-5-2019,65,NA
23-5-2019,93,1249698
21-5-2019,127,NA
21-5-2019,68,NA
20-5-2019,81,NA
20-5-2019,67,NA
20-5-2019,191,NA
20-5-2019,13,NA
19-5-2019,87,NA
17-5-2019,41,NA
16-5-2019,352,NA
15-5-2019,138,NA
15-5-2019,64,NA
15-5-2019,116,NA
14-5-2019,54,NA
14-5-2019,83,NA
14-5-2019,54,NA
14-5-2019,96,NA
14-5-2019,305,NA
13-5-2019,51,NA
13-5-2019,80,NA
13-5-2019,152,NA
13-5-2019,128,NA
12-5-2019,52,NA
09-5-2019,349,268343
08-5-2019,87,NA
07-5-2019,2341,NA
07-5-2019,71,NA
06-5-2019,210,NA
01-5-2019,41,NA
01-5-2019,332,NA
01-5-2019,28,NA
30-4-2019,28,NA
30-4-2019,79,NA
30-4-2019,139,NA
29-4-2019,64,NA
29-4-2019,78,NA
29-4-2019,76,NA
29-4-2019,215,7829625
29-4-2019,85,NA
28-4-2019,62,NA
28-4-2019,NA,NA
27-4-2019,108,NA
25-4-2019,NA,NA
24-4-2019,322,NA
22-4-2019,422,NA
19-4-2019,61,NA
16-4-2019,26,NA
16-4-2019,285,NA
16-4-2019,87,NA
15-4-2019,NA,NA
15-4-2019,162,NA
13-4-2019,312,NA
11-4-2019,NA,NA
10-4-2019,88,17500000
10-4-2019,NA,NA
09-4-2019,NA,NA
09-4-2019,195,NA
08-4-2019,NA,NA
08-4-2019,119,NA
08-4-2019,NA,NA
07-4-2019,NA,NA
05-4-2019,182,18920
04-4-2019,211,NA
03-4-2019,35,NA
02-4-2019,NA,NA
02-4-2019,78,13956625
01-4-2019,25,NA
01-4-2019,92,NA
01-4-2019,72,1730
01-4-2019,237,NA
31-3-2019,36,NA
31-3-2019,NA,NA
31-3-2019,195,NA
31-3-2019,149,NA
31-3-2019,119,NA
31-3-2019,104,NA
30-3-2019,39,NA
30-3-2019,14,NA
28-3-2019,87,8583875
28-3-2019,76,10048300
28-3-2019,NA,NA
28-3-2019,78,NA
28-3-2019,146,NA
27-3-2019,66,2409378
27-3-2019,106,2089188
27-3-2019,18,1278750
26-3-2019,NA,NA
26-3-2019,119,2006125
26-3-2019,184,1085300
25-3-2019,142,NA
24-3-2019,209,333540
23-3-2019,NA,NA
23-3-2019,74,NA
23-3-2019,NA,NA
